method,precision_mean,precision_ci_lower,precision_ci_upper,recall_mean,recall_ci_lower,recall_ci_upper,f1_mean,f1_ci_lower,f1_ci_upper
Baseline (Trends only),0.3145,0.208,0.375,0.79,0.579,0.947,0.4467,0.325,0.537
Combined (Hype Index),0.3697,0.267,0.433,0.8462,0.684,1.0,0.5122,0.384,0.595
