date,hype_index_equal,hype_index_pca,hype_index_rank
2023-01-01,0.0046367010963602,0.0037793660106807,0.20360824742268044
2023-01-08,0.0058570147382316,0.0057540075290652,0.26374570446735396
2023-01-15,0.0035468432359086,0.0019916332209933,0.1993127147766323
2023-01-22,0.0024115916709504,0.0001388632247687,0.18900343642611683
2023-01-29,0.0058979099675169,0.0058125996070267,0.26890034364261167
2023-02-05,0.0036053234137865,0.0020754198924782,0.20962199312714777
2023-02-12,0.0024066842434362,0.0001318321754133,0.1872852233676976
2023-02-19,0.0058300238869034,0.0057153367576106,0.25171821305841924
2023-02-26,0.0046915007036024,0.0038578793951491,0.21735395189003437
2023-03-05,0.0058312507437819,0.0057170945199495,0.2534364261168385
2023-03-12,0.0024050484342648,0.0001294884922949,0.18556701030927836
2023-03-19,0.0034977689607663,0.0019213227274395,0.1872852233676976
2023-03-26,0.0046003043422963,0.003727219061295,0.15721649484536082
2023-04-02,0.0057490513329186,0.0055993244432469,0.2001718213058419
2023-04-09,0.0034527842085525,0.0018568714416819,0.13402061855670103
2023-04-16,0.0023146699775444,0.0,0.1323024054982818
2023-04-23,0.0034556468746025,0.0018609728871392,0.140893470790378
2023-04-30,0.0045994864377106,0.0037260472197357,0.15549828178694158
2023-05-07,0.008099709112234,0.0094197049085007,0.3041237113402062
2023-05-14,0.0092157399194282,0.0112449366280834,0.3118556701030928
2023-05-21,0.0115590666937126,0.0164566354933167,0.41494845360824745
2023-05-28,0.0046166624340104,0.0037506558924795,0.19072164948453607
2023-06-04,0.0153523142472655,0.0241291420633103,0.39690721649484534
2023-06-11,0.004603984912932,0.0037324923483115,0.1640893470790378
2023-06-18,0.0176326004748849,0.0285123925798336,0.43470790378006874
2023-06-25,0.0034552379223096,0.0018603869663596,0.13917525773195874
2023-07-02,0.0057502781897972,0.0056010822055857,0.20360824742268044
2023-07-09,0.0034613722067024,0.0018691757780538,0.15034364261168384
2023-07-16,0.0057564124741899,0.0056098710172799,0.21649484536082472
2023-07-23,0.0034679154433881,0.0018785505105276,0.16323024054982818
2023-07-30,0.0034621901112881,0.001870347619613,0.15463917525773196
2023-08-06,0.0080432736958204,0.0093388478409138,0.26374570446735396
2023-08-13,0.0069092489877408,0.007487835607028,0.27147766323024053
2023-08-20,0.0080461363618704,0.0093429492863711,0.2697594501718213
2023-08-27,0.005764591520047,0.0056215894328722,0.23281786941580754
2023-09-03,0.0069055684171051,0.0074825623200115,0.2646048109965636
2023-09-10,0.0034687333479738,0.0018797223520869,0.16494845360824742
2023-09-17,0.0093956352701151,0.0126051285714098,0.3745704467353952
2023-09-24,0.0057752242796612,0.0056368233731422,0.236254295532646
2023-10-01,0.0103399497724793,0.0130818867632584,0.3084192439862543
2023-10-08,0.0057780869457111,0.0056409248185995,0.23797250859106525
2023-10-15,0.0103424034862365,0.0130854022879361,0.31529209621993126
2023-10-22,0.0286659199197799,0.0429582313315799,0.4166666666666667
2023-10-29,0.0092267816313352,0.011260756489133,0.31872852233676974
2023-11-05,0.0401263989746748,0.0616406143796445,0.44072164948453607
2023-11-12,0.0226473457205872,0.0349712778683054,0.5867697594501718
2023-11-19,0.0127781233424652,0.0170276542753498,0.38745704467353953
2023-11-26,0.0219030758528802,0.0319113359270063,0.4527491408934708
2023-12-03,0.1515762401791425,0.2457576144468529,0.7010309278350516
2023-12-10,0.6109870290976314,1.0,0.9475945017182131
2023-12-17,0.12267843301738,0.1946981572210255,0.8874570446735396
2023-12-24,0.0578266721139112,0.0820228514986361,0.6357388316151202
2023-12-31,0.0484919270772629,0.0684223698711327,0.5979381443298969
2024-01-07,0.0393146286733628,0.0539161981837127,0.49828178694158076
2024-01-14,0.0390798900572655,0.0535798796562138,0.4948453608247423
2024-01-21,0.0370118183123111,0.0503906243616876,0.4458762886597938
2024-01-28,0.0369651977509259,0.0503238293928115,0.44415807560137455
2024-02-04,0.0355563571020495,0.0483053323070382,0.4304123711340206
2024-02-11,0.0434879819044207,0.0658005262391583,0.5893470790378007
2024-02-18,0.0266174778848823,0.0350457680821883,0.3041237113402062
2024-02-25,0.0302117595867618,0.040647933638251,0.3805841924398625
2024-03-03,0.0325076177588351,0.0441635468070227,0.43986254295532645
2024-03-10,0.0329107073124126,0.046242728411531,0.4948453608247423
2024-03-17,0.0277281923122694,0.0370896367436497,0.3548109965635739
2024-03-24,0.0293075660672652,0.0393524627945225,0.37199312714776633
2024-03-31,0.0243903236980083,0.0318548435164056,0.2835051546391752
2024-04-07,0.0257423199781783,0.0340181515258261,0.3084192439862543
2024-04-14,0.0268056326724489,0.0375559703996337,0.3986254295532646
2024-04-21,0.0227782337595843,0.0297713977151773,0.2706185567010309
2024-04-28,0.0286106848045669,0.0410360139312698,0.4518900343642612
2024-05-05,0.0240987407132046,0.0318895898245675,0.313573883161512
2024-05-12,0.0246279249801555,0.0333265330494301,0.3651202749140893
2024-05-19,0.0304117372579666,0.0418394645475373,0.42353951890034364
2024-05-26,0.0222425062559477,0.0296826032299228,0.33848797250859103
2024-06-02,0.0209416290123843,0.0273662814059404,0.2912371134020619
2024-06-09,0.0202513175420494,0.0263772471299505,0.2878006872852234
2024-06-16,0.0662130127570397,0.116341636549225,0.4321305841924399
2024-06-23,0.0189316284930148,0.0244864807741332,0.27749140893470786
2024-06-30,0.0180069873588756,0.0231617138914239,0.2757731958762886
2024-07-07,0.019174955107262,0.0248351036380041,0.28092783505154634
2024-07-14,0.0212356657109451,0.0280138123584972,0.32474226804123707
2024-07-21,0.0248201325577962,0.0338281697278628,0.3754295532646048
2024-07-28,0.0219267950858656,0.0287777645640327,0.2981099656357388
2024-08-04,0.0218609537667164,0.0289096852305284,0.32989690721649484
2024-08-11,0.0229209581097897,0.0304283918912902,0.33505154639175255
2024-08-18,0.0252307206598199,0.0337376724545552,0.35223367697594504
2024-08-25,0.0255521571620019,0.0339719522753188,0.3256013745704467
2024-09-01,0.0251881896213633,0.0336767366934752,0.3505154639175258
2024-09-08,0.0317976765784433,0.0435988961576386,0.4304123711340206
