date,trends_signal,wiki_signal,upload_count,total_views_of_new_videos,unique_channels,total_likes,youtube_signal,youtube_creator_signal,log_views,log_likes,youtube_audience_signal,hype_index_equal,hype_index_pca
2023-01-01,0.013745704467353952,0.00016439882172665385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004636701096360202,0.0037793660106807403
2023-01-08,0.01718213058419244,0.0003889136305026065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005857014738231682,0.005754007529065269
2023-01-15,0.010309278350515464,0.0003312513572104219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035468432359086286,0.001991633220993355
2023-01-22,0.006872852233676976,0.00036192277917434986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024115916709504417,0.00013886322476873436
2023-01-29,0.01718213058419244,0.0005115993183583183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00589790996751692,0.00581259960702675
2023-02-05,0.010309278350515464,0.0005066918908440899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036053234137865178,0.0020754198924782946
2023-02-12,0.006872852233676976,0.0003472004966316645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024066842434362135,0.00013183217541336278
2023-02-19,0.01718213058419244,0.00030794107651783666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005830023886903426,0.00571533675761067
2023-02-26,0.013745704467353952,0.0003287976434533077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00469150070360242,0.0038578793951491303
2023-03-05,0.01718213058419244,0.000311621647153508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058312507437819835,0.00571709451994952
2023-03-12,0.006872852233676976,0.000342293069117436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002405048434264804,0.00012948849229491022
2023-03-19,0.010309278350515464,0.00018402853178356774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034977689607663437,0.0019213227274395839
2023-03-26,0.013745704467353952,5.520855953507032e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004600304342296341,0.0037272190612950146
2023-04-02,0.01718213058419244,6.502341456352727e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005749051332918656,0.005599324443246914
2023-04-09,0.010309278350515464,4.907427514228473e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003452784208552583,0.001856871441681937
2023-04-16,0.006872852233676976,7.115769895631285e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023146699775444296,0.0
2023-04-23,0.010309278350515464,5.7662273292184555e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034556468746025494,0.0018609728871392395
2023-04-30,0.013745704467353952,5.2754845777956084e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004599486437710636,0.0037260472197357813
2023-05-07,0.024054982817869417,0.00024414451883286655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008099709112234095,0.009419704908500706
2023-05-14,0.027491408934707903,0.000155810823576754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00921573991942822,0.011244936628083416
2023-05-21,0.020618556701030927,0.0001337273997627259,0.016129032258064516,0.008563804287548325,0.019230769230769232,45690.0,0.013924915980344274,0.017679900744416874,0.75732528521162,0.6534354355517745,0.7053803603816973,0.011559066693712643,0.016456635493316746
2023-05-28,0.013745704467353952,0.00010428283467735505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004616662434010436,0.0037506558924795957
2023-06-04,0.01718213058419244,7.606512647054133e-05,0.016129032258064516,0.03493933714265731,0.019230769230769232,737846.0,0.028798747031133633,0.017679900744416874,0.8290064199936812,0.8228490266121837,0.8259277233029325,0.015352314247265538,0.024129142063310308
2023-06-11,0.013745704467353952,6.625027144208438e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004603984912932012,0.0037324923483115363
2023-06-18,0.01718213058419244,0.00017912110426933928,0.016129032258064516,0.04688737769869875,0.019230769230769232,846819.0,0.03553654973619316,0.017679900744416874,0.8440013798560774,0.8312380950136987,0.837619737434888,0.01763260047488498,0.02851239257983363
2023-06-25,0.010309278350515464,5.643541641362744e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034552379223096973,0.0018603869663596367
2023-07-02,0.01718213058419244,6.870398519919863e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005750278189797214,0.005601082205585778
2023-07-09,0.010309278350515464,7.483826959198421e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034613722067024827,0.0018691757780538582
2023-07-16,0.01718213058419244,8.71068383775554e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005756412474189999,0.005609871017279999
2023-07-23,0.010309278350515464,9.446797964889811e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034679154433881203,0.0018785505105276823
2023-07-30,0.010309278350515464,7.729198334909845e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034621901112881874,0.0018703476196130775
2023-08-06,0.024054982817869417,7.483826959198421e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008043273695820467,0.00933884784091385
2023-08-13,0.020618556701030927,0.00010919026219158352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006909248987740837,0.007487835607028065
2023-08-20,0.024054982817869417,8.342626774188404e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008046136361870434,0.009342949286371152
2023-08-27,0.01718213058419244,0.00011164397594869777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057645915200470466,0.00562158943287229
2023-09-03,0.020618556701030927,9.814855028456945e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006905568417105166,0.007482562320011529
2023-09-10,0.010309278350515464,9.692169340601234e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034687333479738254,0.0018797223520869155
2023-09-17,0.01718213058419244,0.00025273251698276636,0.016129032258064516,0.002937397551907251,0.019230769230769232,24185.0,0.01075204270917021,0.017679900744416874,0.7027758564110652,0.6146953162804134,0.6587355863457394,0.00939563527011514,0.012605128571409857
2023-09-24,0.01718213058419244,0.00014354225479118284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005775224279661207,0.00563682337314228
2023-10-01,0.030927835051546393,9.201426589178387e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010339949772479392,0.013081886763258443
2023-10-08,0.01718213058419244,0.00015213025294108265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005778086945711174,0.0056409248185995825
2023-10-15,0.030927835051546393,9.937540716312658e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010342403486236506,0.013085402287936143
2023-10-22,0.0859106529209622,8.71068383775554e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028665919919779917,0.042958231331579944
2023-10-29,0.027491408934707903,0.00018893595929779622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009226781631335232,0.011260756489133023
2023-11-05,0.12027491408934707,0.00010428283467735505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04012639897467481,0.061640614379644514
2023-11-12,0.048109965635738834,0.0009692169340601235,0.016129032258064516,0.017320173890142496,0.019230769230769232,350276.0,0.018862854591962706,0.017679900744416874,0.7932317681080033,0.7774778279757857,0.7853547980418945,0.022647345720587225,0.034971277868305416
2023-11-19,0.037800687285223365,0.0005336827421723464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012778123342465237,0.0170276542753498
2023-11-26,0.06529209621993126,0.0004171313387094202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02190307585288023,0.03191133592700636
2023-12-03,0.42955326460481097,0.0005717153054076171,0.016129032258064516,0.027500397648435117,0.019230769230769232,328220.0,0.024603740627209054,0.017679900744416874,0.8168011939789585,0.7735170720512141,0.7951591330150862,0.15157624017914254,0.2457576144468529
2023-12-10,0.09621993127147767,1.0,0.3064516129032258,1.0,0.34615384615384615,13529426.0,0.7367411560214163,0.326302729528536,1.0,1.0,1.0,0.6109870290976314,1.0
2023-12-17,0.058419243986254296,0.19580145039020186,0.03225806451612903,0.16956760062448922,0.038461538461538464,2376141.0,0.11381460467568398,0.03535980148883375,0.9095361095059129,0.8940713201536132,0.9018037148297631,0.12267843301738006,0.19469815722102557
2023-12-24,0.04467353951890034,0.12880647682283328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0578266721139112,0.08202285149863611
2023-12-31,0.041237113402061855,0.104238667829727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04849192707726296,0.06842236987113276
2024-01-07,0.020618556701030927,0.09732532931905763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03931462867336285,0.053916198183712793
2024-01-14,0.020618556701030927,0.09662111347076585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039079890057265594,0.053579879656213844
2024-01-21,0.01718213058419244,0.09385332435274099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037011818312311144,0.05039062436168763
2024-01-28,0.01718213058419244,0.09371346266858548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03696519775092597,0.050323829392811534
2024-02-04,0.01718213058419244,0.0894869407219562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035556357102049546,0.0483053323070382
2024-02-11,0.01718213058419244,0.07627123842613893,0.016129032258064516,0.04950124675218964,0.019230769230769232,728304.0,0.03701057670293099,0.017679900744416874,0.8467670022492157,0.8220563183195129,0.8344116602843643,0.04348798190442079,0.0658005262391583
