date,trends_signal,wiki_signal,upload_count,total_views_of_new_videos,unique_channels,total_likes,youtube_signal,youtube_creator_signal,log_views,log_likes,youtube_audience_signal,hype_index_equal,hype_index_pca,z_score,is_spike
2023-01-01,0.0137457044673539,0.0001643988217266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046367010963602,0.0037793660106807,,False
2023-01-08,0.0171821305841924,0.0003889136305026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058570147382316,0.0057540075290652,,False
2023-01-15,0.0103092783505154,0.0003312513572104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035468432359086,0.0019916332209933,-0.9806555490001504,False
2023-01-22,0.0068728522336769,0.0003619227791743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024115916709504,0.0001388632247687,-1.1531430167318544,False
2023-01-29,0.0171821305841924,0.0005115993183583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058979099675169,0.0058125996070267,0.9477400709972373,False
2023-02-05,0.0103092783505154,0.000506691890844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036053234137865,0.0020754198924782,-0.5172656497100379,False
2023-02-12,0.0068728522336769,0.0003472004966316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024066842434362,0.0001318321754133,-1.12364938911184,False
2023-02-19,0.0171821305841924,0.0003079410765178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058300238869034,0.0057153367576106,1.0414126928316623,False
2023-02-26,0.0137457044673539,0.0003287976434533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046915007036024,0.0038578793951491,0.2744619739466351,False
2023-03-05,0.0171821305841924,0.0003116216471535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058312507437819,0.0057170945199495,1.0410798041981983,False
2023-03-12,0.0068728522336769,0.0003422930691174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024050484342648,0.0001294884922949,-1.0670181064084283,False
2023-03-19,0.0103092783505154,0.0001840285317835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034977689607663,0.0019213227274395,-0.5163126618675189,False
2023-03-26,0.0137457044673539,5.520855953507032e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046003043422963,0.003727219061295,0.36176682835724105,False
2023-04-02,0.0171821305841924,6.502341456352727e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057490513329186,0.0055993244432469,0.943938268365447,False
