null_f1
0.341
0.35
0.265
0.177
0.368
0.103
0.308
0.163
0.227
0.268
0.392
0.391
0.247
0.118
0.041
0.268
0.432
0.35
0.432
0.496
0.204
0.204
0.163
0.163
0.268
0.392
0.309
0.186
0.205
0.413
0.286
0.367
0.247
0.259
0.289
0.432
0.331
0.286
0.341
0.35
0.247
0.372
0.413
0.309
0.188
0.286
0.434
0.432
0.367
0.286
0.289
0.205
0.408
0.204
0.122
0.268
0.186
0.103
0.35
0.331
0.331
0.35
0.205
0.382
0.35
0.286
0.289
0.327
0.327
0.286
0.391
0.227
0.372
0.309
0.247
0.268
0.308
0.372
0.204
0.23
0.227
0.391
0.382
0.227
0.188
0.391
0.122
0.432
0.331
0.286
0.341
0.391
0.259
0.268
0.289
0.35
0.475
0.434
0.455
0.177
0.367
0.259
0.391
0.204
0.259
0.309
0.204
0.23
0.271
0.204
0.309
0.372
0.286
0.331
0.514
0.204
0.341
0.432
0.227
0.35
0.286
0.327
0.235
0.35
0.289
0.367
0.268
0.286
0.268
0.245
0.245
0.309
0.289
0.286
0.186
0.372
0.245
0.331
0.227
0.245
0.227
0.619
0.408
0.35
0.324
0.247
0.391
0.227
0.35
0.3
0.313
0.218
0.309
0.432
0.286
0.327
0.268
0.268
0.367
0.475
0.218
0.247
0.163
0.268
0.327
0.35
0.413
0.289
0.286
0.35
0.413
0.204
0.327
0.368
0.35
0.475
0.475
0.247
0.35
0.475
0.432
0.218
0.408
0.372
0.286
0.289
0.391
0.082
0.309
0.245
0.247
0.286
0.218
0.331
0.473
0.308
0.413
0.327
0.289
0.308
0.308
0.239
0.221
0.537
0.186
0.286
0.163
0.341
0.455
0.372
0.186
0.186
0.331
0.453
0.413
0.413
0.35
0.286
0.204
0.196
0.205
0.286
0.367
0.227
0.268
0.367
0.247
0.247
0.268
0.145
0.204
0.395
0.268
0.268
0.289
0.268
0.367
0.309
0.35
0.265
0.186
0.188
0.247
0.392
0.227
0.186
0.227
0.309
0.413
0.268
0.247
0.162
0.309
0.35
0.434
0.35
0.122
0.059
0.413
0.268
0.239
0.391
0.35
0.227
0.41
0.49
0.455
0.313
0.327
0.391
0.35
0.227
0.247
0.382
0.309
0.286
0.204
0.41
0.186
0.449
0.239
0.227
0.041
0.413
0.313
0.177
0.286
0.204
0.372
0.434
0.286
0.309
0.408
0.259
0.41
0.331
0.221
0.408
0.286
0.327
0.245
0.327
0.432
0.35
0.49
0.204
0.289
0.245
0.186
0.391
0.289
0.289
0.327
0.408
0.145
0.308
0.289
0.473
0.163
0.413
0.391
0.35
0.204
0.372
0.455
0.341
0.309
0.265
0.204
0.496
0.204
0.186
0.268
0.265
0.413
0.186
0.391
0.434
0.145
0.204
0.35
0.259
0.247
0.122
0.122
0.286
0.268
0.145
0.245
0.227
0.35
0.327
0.327
0.041
0.204
0.245
0.259
0.162
0.505
0.286
0.186
0.268
0.163
0.309
0.286
0.094
0.204
0.259
0.204
0.331
0.496
0.268
0.382
0.227
0.271
0.227
0.392
0.382
0.204
0.432
0.227
0.367
0.221
0.204
0.309
0.395
0.259
0.286
0.331
0.247
0.204
0.268
0.453
0.3
0.286
0.265
0.392
0.204
0.218
0.339
0.331
0.247
0.413
0.268
0.341
0.271
0.122
0.309
0.245
0.268
0.372
0.423
0.309
0.372
0.145
0.245
0.368
0.268
0.247
0.259
0.331
0.103
0.313
0.309
0.449
0.327
0.122
0.163
0.372
0.289
0.28
0.177
0.391
0.186
0.35
0.268
0.265
0.227
0.449
0.309
0.35
0.495
0.391
0.218
0.145
0.205
0.408
0.082
0.163
0.259
0.259
0.365
0.286
0.475
0.259
0.367
0.245
0.475
0.162
0.331
0.382
0.327
0.35
0.271
0.382
0.35
0.162
0.218
0.245
0.082
0.289
0.35
0.382
0.35
0.23
0.432
0.327
0.227
0.35
0.35
0.434
0.163
0.247
0.3
0.391
0.204
0.423
0.122
0.186
0.271
0.259
0.35
0.245
0.281
0.271
0.286
0.122
0.3
0.271
0.432
0.427
0.227
0.163
0.268
0.163
0.122
0.309
0.227
0.162
0.177
0.204
0.537
0.313
0.247
0.331
0.35
0.464
0.413
0.163
0.372
0.289
0.391
0.177
0.245
0.434
0.289
0.392
0.268
0.309
0.245
0.327
0.455
0.313
0.327
0.392
0.227
0.35
0.204
0.268
0.35
0.177
0.177
0.308
0.327
0.35
0.163
0.367
0.268
0.268
0.367
0.227
0.35
0.372
0.227
0.341
0.186
0.289
0.413
0.247
0.35
0.28
0.163
0.204
0.286
0.204
0.162
0.218
0.327
0.41
0.35
0.186
0.094
0.382
0.186
0.331
0.434
0.35
0.449
0.259
0.35
0.413
0.35
0.367
0.204
0.245
0.331
0.227
0.145
0.177
0.367
0.122
0.327
0.259
0.289
0.432
0.122
0.259
0.372
0.35
0.286
0.309
0.641
0.341
0.245
0.245
0.204
0.163
0.35
0.341
0.407
0.49
0.354
0.145
0.35
0.49
0.391
0.331
0.35
0.265
0.204
0.259
0.205
0.289
0.177
0.408
0.309
0.449
0.176
0.309
0.308
0.245
0.413
0.309
0.475
0.391
0.313
0.286
0.427
0.122
0.372
0.308
0.327
0.245
0.35
0.35
0.289
0.205
0.367
0.204
0.245
0.367
0.327
0.331
0.122
0.392
0.218
0.308
0.324
0.331
0.145
0.286
0.286
0.423
0.163
0.122
0.391
0.204
0.367
0.367
0.35
0.289
0.268
0.434
0.309
0.408
0.473
0.245
0.35
0.392
0.309
0.205
0.372
0.392
0.186
0.432
0.227
0.268
0.268
0.286
0.041
0.367
0.313
0.227
0.122
0.392
0.434
0.331
0.35
0.308
0.331
0.41
0.186
0.327
0.35
0.341
0.3
0.259
0.3
0.434
0.227
0.432
0.163
0.245
0.286
0.186
0.221
0.35
0.413
0.391
0.473
0.368
0.163
0.341
0.245
0.341
0.289
0.163
0.218
0.268
0.289
0.218
0.453
0.122
0.537
0.103
0.372
0.464
0.432
0.23
0.496
0.514
0.289
0.367
0.204
0.449
0.455
0.35
0.145
0.245
0.286
0.259
0.308
0.101
0.286
0.204
0.204
0.245
0.309
0.313
0.327
0.289
0.453
0.289
0.281
0.186
0.245
0.309
0.35
0.341
0.341
0.163
0.265
0.408
0.204
0.145
0.163
0.136
0.537
0.391
0.391
0.432
0.289
0.331
0.395
0.309
0.227
0.327
0.259
0.268
0.227
0.247
0.35
0.391
0.35
0.268
0.449
0.408
0.327
0.163
0.382
0.309
0.35
0.289
0.268
0.268
0.245
0.341
0.578
0.204
0.268
0.247
0.3
0.331
0.218
0.434
0.268
0.268
0.391
0.286
0.434
0.331
0.308
0.205
0.289
0.136
0.268
0.286
0.204
0.247
0.327
0.245
0.186
0.227
0.286
0.136
0.341
0.286
0.331
0.259
0.391
0.286
0.289
0.309
0.247
0.265
0.122
0.218
0.35
0.453
0.3
0.513
0.537
0.245
0.218
0.313
0.259
0.145
0.372
0.391
0.259
0.227
0.432
0.455
0.286
0.186
0.145
0.372
0.227
0.245
0.268
0.3
0.247
0.475
0.286
0.392
0.35
0.218
0.35
0.204
0.323
0.286
0.368
0.145
0.122
0.247
0.204
0.204
0.204
0.163
0.289
0.227
0.163
0.3
0.382
0.327
0.163
0.35
0.245
0.413
0.136
0.289
0.354
0.309
0.227
0.324
0.289
0.327
0.204
0.475
0.331
0.413
0.103
0.245
0.323
0.35
0.286
0.082
0.327
0.309
0.308
0.157
0.247
0.391
0.145
0.245
0.163
0.163
0.163
0.514
0.245
0.163
0.331
0.3
0.245
0.268
0.221
0.227
0.204
0.204
0.186
0.268
0.391
0.186
0.286
