date,avg_sentiment,video_count,dominant_topic_cluster,dominant_topic_terms
2025-08-31,0.0,1,6.0,"release, release date, date, gta release, gta, date confirmed, gta releases, releases"
2025-09-07,0.7263,1,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2025-09-14,0.25248,5,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2025-09-21,-0.01815,2,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2025-09-28,,0,,
2025-10-05,0.06585000000000002,2,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2025-10-12,0.3592,2,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2025-10-19,,0,,
2025-10-26,-0.02846666666666668,3,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2025-11-02,-0.89395,2,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2025-11-09,-0.284975,16,5.0,"delayed, gta delayed, gta, 2026, delay, delayed 2026, delayed november, november"
2025-11-16,-0.29147500000000004,4,5.0,"delayed, gta delayed, gta, 2026, delay, delayed 2026, delayed november, november"
2025-11-23,0.85385,2,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2025-11-30,0.9112,1,6.0,"release, release date, date, gta release, gta, date confirmed, gta releases, releases"
2025-12-07,,0,,
2025-12-14,,0,,
2025-12-21,,0,,
2025-12-28,,0,,
2026-01-04,,0,,
2026-01-11,,0,,
2026-01-18,,0,,
2026-01-25,,0,,
2026-02-01,-0.7003,1,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2026-02-08,0.7814000000000001,2,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2026-02-15,,0,,
2026-02-22,,0,,
2026-03-01,,0,,
2026-03-08,,0,,
2026-03-15,0.3786,1,6.0,"release, release date, date, gta release, gta, date confirmed, gta releases, releases"
2026-03-22,,0,,
2026-03-29,,0,,
2026-04-05,-0.35246666666666665,3,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2026-04-12,,0,,
2026-04-19,-0.81655,2,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2026-04-26,,0,,
2026-05-03,,0,,
2026-05-10,0.4135,1,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2026-05-17,-0.4843,1,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2026-05-24,-0.21075,2,5.0,"delayed, gta delayed, gta, 2026, delay, delayed 2026, delayed november, november"
2026-05-31,-0.6369,1,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2026-06-07,,0,,
2026-06-14,-0.8327,1,5.0,"delayed, gta delayed, gta, 2026, delay, delayed 2026, delayed november, november"
2026-06-21,0.43831621621621625,37,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2026-06-28,0.14554390243902438,41,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2026-07-05,-0.06679999999999997,2,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2026-07-12,0.7291666666666666,3,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2026-07-19,,0,,
2026-07-26,0.43125,2,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2026-08-02,,0,,
2026-08-09,0.14731666666666668,6,5.0,"delayed, gta delayed, gta, 2026, delay, delayed 2026, delayed november, november"
2026-08-16,0.5596,2,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2026-08-23,-0.16113750000000002,8,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2026-08-30,0.22105967741935484,62,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2026-09-06,0.17403333333333335,42,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2026-09-13,-0.79215,2,5.0,"delayed, gta delayed, gta, 2026, delay, delayed 2026, delayed november, november"
