event,type,offset_weeks,relative_hype
Second delay announced (May 2026 -> Nov 2026),official,4,0.6590171798935677
Best Buy marketing email leak fuels pre-order speculation,rumor,-4,0.5697945416976984
Best Buy marketing email leak fuels pre-order speculation,rumor,-3,1.6640309498496846
Best Buy marketing email leak fuels pre-order speculation,rumor,-2,0.8423462643168282
Best Buy marketing email leak fuels pre-order speculation,rumor,-1,0.923828244135789
Best Buy marketing email leak fuels pre-order speculation,rumor,0,1.8232684281315608
Best Buy marketing email leak fuels pre-order speculation,rumor,1,1.0242793022111785
Best Buy marketing email leak fuels pre-order speculation,rumor,2,0.6825187412037197
Best Buy marketing email leak fuels pre-order speculation,rumor,3,1.0711882613437238
Best Buy marketing email leak fuels pre-order speculation,rumor,4,1.271298790336715
Take-Two earnings call locks in release calendar (no further delay),official,-4,1.266994743532839
Take-Two earnings call locks in release calendar (no further delay),official,-3,0.6413632446081315
Take-Two earnings call locks in release calendar (no further delay),official,-2,0.7034037013271595
Take-Two earnings call locks in release calendar (no further delay),official,-1,1.38823831053187
Take-Two earnings call locks in release calendar (no further delay),official,0,0.7798872322226197
Take-Two earnings call locks in release calendar (no further delay),official,1,0.5196704169149482
Take-Two earnings call locks in release calendar (no further delay),official,2,0.8156037581988345
Take-Two earnings call locks in release calendar (no further delay),official,3,0.9679681047770026
Take-Two earnings call locks in release calendar (no further delay),official,4,4.15659768370645
Official cover art revealed,official,-4,1.0118124835930455
Official cover art revealed,official,-3,0.6742115955534126
Official cover art revealed,official,-2,1.0581504993473458
Official cover art revealed,official,-1,1.2558254215061964
Official cover art revealed,official,0,5.392699420994756
Official cover art revealed,official,1,4.543071123288224
Official cover art revealed,official,2,1.4071440571855522
Official cover art revealed,official,3,1.017887118138973
Official cover art revealed,official,4,0.6415981463422843
Promo site updated with Ultimate Edition and Vintage Vice City Pack,marketing,-4,1.0118124835930455
Promo site updated with Ultimate Edition and Vintage Vice City Pack,marketing,-3,0.6742115955534126
Promo site updated with Ultimate Edition and Vintage Vice City Pack,marketing,-2,1.0581504993473458
Promo site updated with Ultimate Edition and Vintage Vice City Pack,marketing,-1,1.2558254215061964
Promo site updated with Ultimate Edition and Vintage Vice City Pack,marketing,0,5.392699420994756
Promo site updated with Ultimate Edition and Vintage Vice City Pack,marketing,1,4.543071123288224
Promo site updated with Ultimate Edition and Vintage Vice City Pack,marketing,2,1.4071440571855522
Promo site updated with Ultimate Edition and Vintage Vice City Pack,marketing,3,1.017887118138973
Promo site updated with Ultimate Edition and Vintage Vice City Pack,marketing,4,0.6415981463422843
Pre-orders opened,marketing,-4,0.32178531966328394
Pre-orders opened,marketing,-3,0.5050303182710155
Pre-orders opened,marketing,-2,0.5993759041906532
Pre-orders opened,marketing,-1,2.573808457875047
Pre-orders opened,marketing,0,2.1683008766118457
Pre-orders opened,marketing,1,0.671596726072433
Pre-orders opened,marketing,2,0.48581355445634683
Pre-orders opened,marketing,3,0.3062196882666436
Pre-orders opened,marketing,4,0.4447880672223354
Netflix partnership / Extended Look announced,marketing,-4,1.1020516567271874
Netflix partnership / Extended Look announced,marketing,-3,0.6946490308496757
Netflix partnership / Extended Look announced,marketing,-2,1.008986723154312
Netflix partnership / Extended Look announced,marketing,-1,1.1943125892688247
Netflix partnership / Extended Look announced,marketing,0,1.0871353196550477
Netflix partnership / Extended Look announced,marketing,1,1.704324678170449
Netflix partnership / Extended Look announced,marketing,2,4.041517952535888
Netflix partnership / Extended Look announced,marketing,3,6.097184172680983
Netflix partnership / Extended Look announced,marketing,4,3.621199702815323
CyberLeek leak wave begins,leak,-4,0.6972491316172907
CyberLeek leak wave begins,leak,-3,1.012763403228533
CyberLeek leak wave begins,leak,-2,1.1987829519156017
CyberLeek leak wave begins,leak,-1,1.0912045132385744
CyberLeek leak wave begins,leak,0,1.7107040376846427
CyberLeek leak wave begins,leak,1,4.056645525546197
CyberLeek leak wave begins,leak,2,6.120006191489945
CyberLeek leak wave begins,leak,3,3.6347540068002586
CyberLeek leak wave begins,leak,4,0.06736030679608296
CyberLeek posts additional leaks and map images,leak,-4,0.8080363120473053
CyberLeek posts additional leaks and map images,leak,-3,0.9564525656467504
CyberLeek posts additional leaks and map images,leak,-2,0.8706207864105718
CyberLeek posts additional leaks and map images,leak,-1,1.3648903358953726
CyberLeek posts additional leaks and map images,leak,0,3.2366067724169927
CyberLeek posts additional leaks and map images,leak,1,4.882865254524124
CyberLeek posts additional leaks and map images,leak,2,2.8999993616389603
CyberLeek posts additional leaks and map images,leak,3,0.053743622358755114
CyberLeek posts additional leaks and map images,leak,4,
Extended Look released on Netflix/YouTube,official,-4,0.5951261304783133
Extended Look released on Netflix/YouTube,official,-3,0.5417196820211908
Extended Look released on Netflix/YouTube,official,-2,0.849265225797576
Extended Look released on Netflix/YouTube,official,-1,2.0138889617029196
Extended Look released on Netflix/YouTube,official,0,3.038227727066602
Extended Look released on Netflix/YouTube,official,1,1.8044443190078625
Extended Look released on Netflix/YouTube,official,2,0.03344048117077928
Extended Look released on Netflix/YouTube,official,3,
Extended Look released on Netflix/YouTube,official,4,
