date,interest,keyword,geo
2024-04-21,3,GTA 6,worldwide
2024-04-28,3,GTA 6,worldwide
2024-05-05,3,GTA 6,worldwide
2024-05-12,4,GTA 6,worldwide
2024-05-19,3,GTA 6,worldwide
2024-05-26,3,GTA 6,worldwide
2024-06-02,3,GTA 6,worldwide
2024-06-09,3,GTA 6,worldwide
2024-06-16,3,GTA 6,worldwide
2024-06-23,3,GTA 6,worldwide
2024-06-30,3,GTA 6,worldwide
2024-07-07,3,GTA 6,worldwide
2024-07-14,4,GTA 6,worldwide
2024-07-21,4,GTA 6,worldwide
2024-07-28,3,GTA 6,worldwide
2024-08-04,4,GTA 6,worldwide
2024-08-11,4,GTA 6,worldwide
2024-08-18,4,GTA 6,worldwide
2024-08-25,3,GTA 6,worldwide
2024-09-01,4,GTA 6,worldwide
2024-09-08,5,GTA 6,worldwide
2024-09-15,3,GTA 6,worldwide
2024-09-22,3,GTA 6,worldwide
2024-09-29,3,GTA 6,worldwide
2024-10-06,3,GTA 6,worldwide
2024-10-13,3,GTA 6,worldwide
2024-10-20,4,GTA 6,worldwide
2024-10-27,4,GTA 6,worldwide
2024-11-03,4,GTA 6,worldwide
2024-11-10,4,GTA 6,worldwide
2024-11-17,5,GTA 6,worldwide
2024-11-24,6,GTA 6,worldwide
2024-12-01,7,GTA 6,worldwide
2024-12-08,6,GTA 6,worldwide
2024-12-15,6,GTA 6,worldwide
2024-12-22,9,GTA 6,worldwide
2024-12-29,12,GTA 6,worldwide
2025-01-05,9,GTA 6,worldwide
2025-01-12,7,GTA 6,worldwide
2025-01-19,7,GTA 6,worldwide
2025-01-26,8,GTA 6,worldwide
2025-02-02,9,GTA 6,worldwide
2025-02-09,8,GTA 6,worldwide
2025-02-16,7,GTA 6,worldwide
2025-02-23,9,GTA 6,worldwide
2025-03-02,8,GTA 6,worldwide
2025-03-09,6,GTA 6,worldwide
2025-03-16,8,GTA 6,worldwide
2025-03-23,6,GTA 6,worldwide
2025-03-30,7,GTA 6,worldwide
2025-04-06,5,GTA 6,worldwide
2025-04-13,5,GTA 6,worldwide
2025-04-20,6,GTA 6,worldwide
2025-04-27,16,GTA 6,worldwide
2025-05-04,34,GTA 6,worldwide
2025-05-11,18,GTA 6,worldwide
2025-05-18,9,GTA 6,worldwide
2025-05-25,8,GTA 6,worldwide
2025-06-01,5,GTA 6,worldwide
2025-06-08,5,GTA 6,worldwide
2025-06-15,4,GTA 6,worldwide
2025-06-22,5,GTA 6,worldwide
2025-06-29,4,GTA 6,worldwide
2025-07-06,4,GTA 6,worldwide
2025-07-13,4,GTA 6,worldwide
2025-07-20,5,GTA 6,worldwide
2025-07-27,6,GTA 6,worldwide
2025-08-03,7,GTA 6,worldwide
2025-08-10,6,GTA 6,worldwide
2025-08-17,6,GTA 6,worldwide
2025-08-24,5,GTA 6,worldwide
2025-08-31,6,GTA 6,worldwide
2025-09-07,6,GTA 6,worldwide
2025-09-14,7,GTA 6,worldwide
2025-09-21,6,GTA 6,worldwide
2025-09-28,5,GTA 6,worldwide
2025-10-05,5,GTA 6,worldwide
2025-10-12,6,GTA 6,worldwide
2025-10-19,6,GTA 6,worldwide
2025-10-26,6,GTA 6,worldwide
2025-11-02,19,GTA 6,worldwide
2025-11-09,9,GTA 6,worldwide
2025-11-16,6,GTA 6,worldwide
2025-11-23,5,GTA 6,worldwide
2025-11-30,7,GTA 6,worldwide
2025-12-07,5,GTA 6,worldwide
2025-12-14,5,GTA 6,worldwide
2025-12-21,6,GTA 6,worldwide
2025-12-28,12,GTA 6,worldwide
2026-01-04,8,GTA 6,worldwide
2026-01-11,6,GTA 6,worldwide
2026-01-18,7,GTA 6,worldwide
2026-01-25,7,GTA 6,worldwide
2026-02-01,7,GTA 6,worldwide
2026-02-08,6,GTA 6,worldwide
2026-02-15,6,GTA 6,worldwide
2026-02-22,6,GTA 6,worldwide
2026-03-01,6,GTA 6,worldwide
2026-03-08,6,GTA 6,worldwide
2026-03-15,6,GTA 6,worldwide
2026-03-22,7,GTA 6,worldwide
2026-03-29,8,GTA 6,worldwide
2026-04-05,8,GTA 6,worldwide
2026-04-12,7,GTA 6,worldwide
2026-04-19,7,GTA 6,worldwide
2026-04-26,9,GTA 6,worldwide
2026-05-03,11,GTA 6,worldwide
2026-05-10,15,GTA 6,worldwide
2026-05-17,22,GTA 6,worldwide
2026-05-24,14,GTA 6,worldwide
2026-05-31,10,GTA 6,worldwide
2026-06-07,9,GTA 6,worldwide
2026-06-14,23,GTA 6,worldwide
2026-06-21,100,GTA 6,worldwide
2026-06-28,43,GTA 6,worldwide
2026-07-05,20,GTA 6,worldwide
2026-07-12,13,GTA 6,worldwide
2026-07-19,12,GTA 6,worldwide
2026-07-26,12,GTA 6,worldwide
2026-08-02,15,GTA 6,worldwide
2026-08-09,14,GTA 6,worldwide
2026-08-16,36,GTA 6,worldwide
2026-08-23,79,GTA 6,worldwide
2026-08-30,44,GTA 6,worldwide
2026-09-06,31,GTA 6,worldwide
