date,interest,keyword,geo
2026-05-03,12,GTA VI,PL
2026-05-10,19,GTA VI,PL
2026-05-17,32,GTA VI,PL
2026-05-24,24,GTA VI,PL
2026-05-31,7,GTA VI,PL
2026-06-07,4,GTA VI,PL
2026-06-14,19,GTA VI,PL
2026-06-21,100,GTA VI,PL
2026-06-28,32,GTA VI,PL
2026-07-05,16,GTA VI,PL
2026-07-12,10,GTA VI,PL
2026-07-19,8,GTA VI,PL
2026-07-26,10,GTA VI,PL
2026-08-02,11,GTA VI,PL
2026-08-09,12,GTA VI,PL
2026-08-16,44,GTA VI,PL
2026-08-23,77,GTA VI,PL
2026-08-30,38,GTA VI,PL
2026-09-06,25,GTA VI,PL
