date,interest,keyword,geo
2024-08-18,0,GTA VI,NL
2024-08-25,0,GTA VI,NL
2024-09-01,0,GTA VI,NL
2024-09-08,1,GTA VI,NL
2024-09-15,0,GTA VI,NL
2024-09-22,0,GTA VI,NL
2024-09-29,0,GTA VI,NL
2024-10-06,0,GTA VI,NL
2024-10-13,0,GTA VI,NL
2024-10-20,0,GTA VI,NL
2024-10-27,0,GTA VI,NL
2024-11-03,0,GTA VI,NL
2024-11-10,1,GTA VI,NL
2024-11-17,0,GTA VI,NL
2024-11-24,1,GTA VI,NL
2024-12-01,1,GTA VI,NL
2024-12-08,2,GTA VI,NL
2024-12-15,1,GTA VI,NL
2024-12-22,1,GTA VI,NL
2024-12-29,2,GTA VI,NL
2025-01-05,1,GTA VI,NL
2025-01-12,1,GTA VI,NL
2025-01-19,1,GTA VI,NL
2025-01-26,2,GTA VI,NL
2025-02-02,1,GTA VI,NL
2025-02-09,1,GTA VI,NL
2025-02-16,0,GTA VI,NL
2025-02-23,1,GTA VI,NL
2025-03-02,0,GTA VI,NL
2025-03-09,1,GTA VI,NL
2025-03-16,1,GTA VI,NL
2025-03-23,2,GTA VI,NL
2025-03-30,0,GTA VI,NL
2025-04-06,0,GTA VI,NL
2025-04-13,1,GTA VI,NL
2025-04-20,0,GTA VI,NL
2025-04-27,3,GTA VI,NL
2025-05-04,13,GTA VI,NL
2025-05-11,4,GTA VI,NL
2025-05-18,1,GTA VI,NL
2025-05-25,1,GTA VI,NL
2025-06-01,1,GTA VI,NL
2025-06-08,0,GTA VI,NL
2025-06-15,0,GTA VI,NL
2025-06-22,0,GTA VI,NL
2025-06-29,0,GTA VI,NL
2025-07-06,0,GTA VI,NL
2025-07-13,0,GTA VI,NL
2025-07-20,0,GTA VI,NL
2025-07-27,0,GTA VI,NL
2025-08-03,0,GTA VI,NL
2025-08-10,0,GTA VI,NL
2025-08-17,0,GTA VI,NL
2025-08-24,0,GTA VI,NL
2025-08-31,0,GTA VI,NL
2025-09-07,1,GTA VI,NL
2025-09-14,1,GTA VI,NL
2025-09-21,0,GTA VI,NL
2025-09-28,0,GTA VI,NL
2025-10-05,0,GTA VI,NL
2025-10-12,0,GTA VI,NL
2025-10-19,1,GTA VI,NL
2025-10-26,1,GTA VI,NL
2025-11-02,7,GTA VI,NL
2025-11-09,2,GTA VI,NL
2025-11-16,1,GTA VI,NL
2025-11-23,1,GTA VI,NL
2025-11-30,1,GTA VI,NL
2025-12-07,1,GTA VI,NL
2025-12-14,0,GTA VI,NL
2025-12-21,1,GTA VI,NL
2025-12-28,1,GTA VI,NL
2026-01-04,1,GTA VI,NL
2026-01-11,1,GTA VI,NL
2026-01-18,2,GTA VI,NL
2026-01-25,1,GTA VI,NL
2026-02-01,2,GTA VI,NL
2026-02-08,2,GTA VI,NL
2026-02-15,1,GTA VI,NL
2026-02-22,2,GTA VI,NL
2026-03-01,2,GTA VI,NL
2026-03-08,2,GTA VI,NL
2026-03-15,3,GTA VI,NL
2026-03-22,2,GTA VI,NL
2026-03-29,3,GTA VI,NL
2026-04-05,3,GTA VI,NL
2026-04-12,3,GTA VI,NL
2026-04-19,2,GTA VI,NL
2026-04-26,3,GTA VI,NL
2026-05-03,2,GTA VI,NL
2026-05-10,5,GTA VI,NL
2026-05-17,6,GTA VI,NL
2026-05-24,4,GTA VI,NL
2026-05-31,5,GTA VI,NL
2026-06-07,7,GTA VI,NL
2026-06-14,19,GTA VI,NL
2026-06-21,100,GTA VI,NL
2026-06-28,55,GTA VI,NL
2026-07-05,24,GTA VI,NL
2026-07-12,9,GTA VI,NL
2026-07-19,7,GTA VI,NL
2026-07-26,7,GTA VI,NL
2026-08-02,11,GTA VI,NL
2026-08-09,17,GTA VI,NL
2026-08-16,23,GTA VI,NL
2026-08-23,43,GTA VI,NL
2026-08-30,19,GTA VI,NL
2026-09-06,18,GTA VI,NL
